
2017-12-15, BUY EXECUTED, 85.26

2017-12-18, SELL EXECUTED, 87.12
2017-12-18, NET, +1.86

2017-12-19, BUY EXECUTED, 86.35

2017-12-20, SELL EXECUTED, 86.20
2017-12-20, NET, -0.15

2017-12-21, BUY EXECUTED, 86.05

2017-12-22, SELL EXECUTED, 85.40
2017-12-22, NET, -0.65

2017-12-26, BUY EXECUTED, 85.31

2017-12-27, SELL EXECUTED, 85.65
2017-12-27, NET, +0.34

2017-12-28, BUY EXECUTED, 85.90

2017-12-29, SELL EXECUTED, 85.63
2017-12-29, NET, -0.27
