,open,high,low,close,volume
10/10/18,156.82,157.69,151.31,151.38,30609970
10/11/18,150.13,154.81,149.16,153.35,35338901
10/12/18,156.73,156.89,151.2998,153.74,25293492
10/15/18,153.32,155.57,152.55,153.52,15433521
10/16/18,155.4,159.46,155.01,158.78,19180095
10/17/18,159.56,160.49,157.95,159.42,17592003
10/18/18,158.51,158.66,153.28,154.92,21675084
10/19/18,155.86,157.35,153.55,154.05,19761347
10/22/18,154.76,157.34,154.46,154.78,15424658
10/23/18,151.22,154.77,150.85,154.39,19095032
10/24/18,154.28,154.65,145.6,146.04,27744597
10/25/18,147.73,152.21,147.0,150.95,22105696
10/26/18,145.82,149.0,143.8,145.37,31303341
10/29/18,148.5,148.83,139.03,142.09,31336784
10/30/18,139.935,146.64,139.7419,146.22,50528278
10/31/18,155.0,156.4,148.96,151.79,60101251
11/01/18,151.52,152.75,149.35,151.75,25640786
11/02/18,151.8,154.13,148.96,150.35,24708695
11/05/18,150.1,150.19,147.44,148.68,15969849
11/06/18,149.31,150.97,148.0,149.94,16667124
11/07/18,151.57,153.01,149.83,151.53,21877372
11/08/18,150.49,150.94,146.74,147.87,24145814
11/09/18,146.75,147.76,144.07,144.96,17326898
