2018-07-12, BUY EXECUTED, 189.53
2018-07-12, SELL ATTEMPT, 189.70
2018-07-12, BUY EXECUTED, 189.53
2018-07-12, SELL ATTEMPT, 189.70
2018-07-12, BUY EXECUTED, 189.53
2018-07-12, SELL ATTEMPT, 189.70
2018-07-13, SELL EXECUTED, 191.08

2018-07-13, SELL EXECUTED, 191.08

2018-07-13, NET, +1.55

2018-07-13, BUY ATTEMPT, 190.00
2018-07-13, SELL EXECUTED, 191.08

2018-07-13, SELL EXECUTED, 191.08

2018-07-13, NET, +1.55

2018-07-13, BUY ATTEMPT, 190.00
2018-07-13, SELL EXECUTED, 191.08

2018-07-13, SELL EXECUTED, 191.08

2018-07-13, NET, +1.55

2018-07-13, BUY ATTEMPT, 190.00
2018-07-16, BUY EXECUTED, 191.52
2018-07-16, SELL ATTEMPT, 189.58
2018-07-16, BUY EXECUTED, 191.52
2018-07-16, SELL ATTEMPT, 189.58
2018-07-16, BUY EXECUTED, 191.52
2018-07-16, SELL ATTEMPT, 189.58
2018-07-17, SELL EXECUTED, 189.75

2018-07-17, SELL EXECUTED, 189.75

2018-07-17, NET, -1.77

2018-07-17, BUY ATTEMPT, 190.12
2018-07-17, SELL EXECUTED, 189.75

2018-07-17, SELL EXECUTED, 189.75

2018-07-17, NET, -1.77

2018-07-17, BUY ATTEMPT, 190.12
2018-07-17, SELL EXECUTED, 189.75

2018-07-17, SELL EXECUTED, 189.75

2018-07-17, NET, -1.77

2018-07-17, BUY ATTEMPT, 190.12
2018-07-18, BUY EXECUTED, 191.78
2018-07-18, SELL ATTEMPT, 189.07
2018-07-18, BUY EXECUTED, 191.78
2018-07-18, SELL ATTEMPT, 189.07
2018-07-18, BUY EXECUTED, 191.78
2018-07-18, SELL ATTEMPT, 189.07
2018-07-19, SELL EXECUTED, 189.69

2018-07-19, SELL EXECUTED, 189.69

2018-07-19, NET, -2.09

2018-07-19, BUY ATTEMPT, 190.54
2018-07-19, SELL EXECUTED, 189.69

2018-07-19, SELL EXECUTED, 189.69

2018-07-19, NET, -2.09

2018-07-19, BUY ATTEMPT, 190.54
2018-07-19, SELL EXECUTED, 189.69

2018-07-19, SELL EXECUTED, 189.69

2018-07-19, NET, -2.09

2018-07-19, BUY ATTEMPT, 190.54
